id,region,dialect_text,target_text,prediction,sentence_bleu,sentence_chrf,bertscore_f1,sts_cosine_similarity,quality_band
2446,Jashore,আমার ক্ষিধে লাগি নি,আমার ক্ষুধা লাগে নি,আমার খিদে পাচ্ছে না,15.97357760615681,18.52411477411477,0.77064383,0.5374428,Difficult (chrF < 50)
1448,Jashore,তবু আমি এখনো তারে ভালোবাসি,তবে আমি তাকে এখনো ভালোবাসি,তবু আমি এখনো তাকে ভালবাসি,14.058533129758727,35.90208003369757,0.9090644,0.9922509,Difficult (chrF < 50)
0813,Jashore,বিশাল গ্যান্জাম লেগে যেতো,বিশাল ক্যাচাল লেগে যেতো,বিশাল ঝামেলা লেগে যেত,18.99589214128981,42.76896682668508,0.89126223,0.9381342,Difficult (chrF < 50)
0611,Jashore,তুমি কিসে পড়ো?,তুমি কোন ক্লাসে পড়ো?,তুমি কিসে পড়ো?,27.534765745159184,46.1315910549903,0.8735206,0.8191211,Difficult (chrF < 50)
1583,Jashore,তিনি বেদেশেততে আইছেন,তিনি বিদেশ থেকে এসেছেন,তিনি দেশে এসেছেন,24.840753130578644,46.91354999354647,0.90862036,0.6737606,Difficult (chrF < 50)
0813,Mymensingh,এক্কেবারে বড় হাঙ্গামা লাইগ্যা যাইতো,বিশাল ক্যাচাল লেগে যেতো,একদম বড় ঝামেলা হয়ে যেত,0.0,14.630489622749687,0.7854405,0.8552133,Difficult (chrF < 50)
1134,Mymensingh,হেইডা হের আর আমার ইস্কুলের হকল বন্ধুবান্ধবই জানত,ওর আর আমার স্কুল ফ্রেন্ডরা সব জানত,সেটা তার এবং আমার বিদ্যালয়ের সব বন্ধুরাই জানত,7.267884212102741,20.88710238532297,0.66992253,0.8915895,Difficult (chrF < 50)
0169,Mymensingh,এখন প্রেম ছাড়া মানুষ পাওয়া কঠিন,বর্তমানে প্রেম হীন মানুষ খুঁজে পাওয়াটা কষ্টকর,এখন প্রেম ছাড়া মানুষ পাওয়া কঠিন,8.170609724417774,26.67682037441581,0.8104041,0.9121437,Difficult (chrF < 50)
0802,Mymensingh,ভাবতাছি আপন মাইনষের জাত কি এইরামই হয়?,ভাবছি আপন লোক কি এমনই হয়?,ভাবলাম নিজের মানুষ কি এমনি হয়?,14.535768424205482,27.06471223115446,0.8811317,0.86496705,Difficult (chrF < 50)
0150,Mymensingh,"চোখের সামনে যারা আছে, কাল থাকবো কিনা কোনো ঠিক নাই",চোখের সামনে যাদেরকে দেখছেন তাদেরকে আগামিকাল সকালবেলা আর দেখতে পাবেন কিনা তার কোনও নিশ্চয়তা নেই,"চোখের সামনে যারা আছে, কালকে থাকবে কিনা তার কোনো ঠিক নেই",7.887688889904441,30.558359433978506,0.80298895,0.8658501,Difficult (chrF < 50)
0802,Noakhali,কিন্তু ভাইবতেছি আহন লোক গুন বুঝি এক্কা হয়?,ভাবছি আপন লোক কি এমনই হয়?,কিন্তু আমি মনে হচ্ছে আপনার লোক গুন বুঝি একটাই,4.767707020457095,18.238994983034306,0.74565923,0.7205101,Difficult (chrF < 50)
2446,Noakhali,আর ক্ষুধা লাগে নাই,আমার ক্ষুধা লাগে নি,আমার খিদে পাচ্ছে না,15.97357760615681,18.52411477411477,0.77064383,0.5374428,Difficult (chrF < 50)
0068,Noakhali,আসলে ভালা ছবি,অসম্ভব ভাল ছবি,আসলে ভালো ছবি,27.516060407455225,19.461342735303024,0.8263651,0.82792205,Difficult (chrF < 50)
0655,Noakhali,এডা আসলেই চিন্তার কথা,বিষয়টি আসলেই দুশ্চিন্তার,এটা সত্যিই চিন্তার কথা,0.0,26.7609752791228,0.7409737,0.6728472,Difficult (chrF < 50)
0813,Noakhali,বিশাল ক্যাচাল লেগে যেতো,বিশাল ক্যাচাল লেগে যেতো,বিশাল ঝামেলা হয়ে যেত,15.97357760615681,26.99269027775169,0.8522564,0.8838529,Difficult (chrF < 50)
0813,Pabna,ম্যালা জামেলা লাইগি যাইতো,বিশাল ক্যাচাল লেগে যেতো,অনেক ঝামেলা হয়ে যেত,0.0,14.240622063712017,0.75887567,0.76903075,Difficult (chrF < 50)
1615,Pabna,পোথমে বালশির নিচে আতাইলি,প্রথমে বালিশের তলাটা হাতড়ালেন,প্রথম প্রথম পানির নিচে আসতাম,0.0,14.418250922379713,0.6994151,0.69983745,Difficult (chrF < 50)
0621,Pabna,চা আমার কাছে ফাইন লাগে,আমি চা খেতে পছন্দ করি,চা আমার কাছে সুন্দর লাগে,10.682175159905853,16.448175166315064,0.77750653,0.5507135,Difficult (chrF < 50)
2446,Pabna,আমার খিদি লাগে নাই,আমার ক্ষুধা লাগে নি,আমার খিদে পাচ্ছে না,15.97357760615681,18.52411477411477,0.77064383,0.5374428,Difficult (chrF < 50)
0068,Pabna,ম্যালা বালো ছবি,অসম্ভব ভাল ছবি,অনেক ভালো ছবি,27.516060407455225,19.461342735303024,0.83118206,0.79773873,Difficult (chrF < 50)
0813,Rangpur,মেলা বড় প্যাচাল লাগি যাইল হয়,বিশাল ক্যাচাল লেগে যেতো,অনেক বড় ঝামেলা হয়ে গেল,0.0,11.846978557504874,0.74016345,0.81672186,Difficult (chrF < 50)
0049,Rangpur,অল্পবয়সের একটা চ্যাংড়া বাইরে ফুটপাতোত দৌড়াছোল,সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,অল্পবয়সী একটি ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,4.923026124015933,12.493270304672318,0.7241232,0.26419264,Difficult (chrF < 50)
2446,Rangpur,মোর ভোক নাগে নাই,আমার ক্ষুধা লাগে নি,আমার খিদে পাচ্ছে না,15.97357760615681,18.52411477411477,0.77064383,0.5374428,Difficult (chrF < 50)
0068,Rangpur,খুব ভাল ছবি,অসম্ভব ভাল ছবি,খুব ভালো ছবি,27.516060407455225,25.066966792385077,0.8368076,0.834404,Difficult (chrF < 50)
1722,Rangpur,পড়ার রুম গুলান আলদা করি দেওয়া আছে,রিডিং রুমগুলো ভাগ ভাগ করা রয়েছে,পড়ার রুম গুলো আলাদা করে দেওয়া আছে,0.0,27.508335911867782,0.7898341,0.60975564,Difficult (chrF < 50)
