id,region,dialect_text,source_text,target_text
0871,Chittagong,অন্যদিকে এত্তনো অন্যায় গরিবার পরও আঁর বাবা আঁর হেই বেডিছড়া বেশি সুখে আছইন,translate Chittagong to Bangla: অন্যদিকে এত্তনো অন্যায় গরিবার পরও আঁর বাবা আঁর হেই বেডিছড়া বেশি সুখে আছইন,অন্যদিকে এতো অন্যায় করার পরও আমার বাবা আর ঐ মহিলা অনেক সুখে আছেন
2173,Jashore,ছুয়ালডার ঘটনা শুনে আমরা তাকে সাহায্য করি,translate Jashore to Bangla: ছুয়ালডার ঘটনা শুনে আমরা তাকে সাহায্য করি,ছেলেটির ঘটনা শুনে আমরা তাকে সাহায্য করি
0913,Barishal,তোমার লগে মোর জরুরি কতা আছে,translate Barishal to Bangla: তোমার লগে মোর জরুরি কতা আছে,তোমার সাথে আমার জরুরি কথা আছে
0804,Jashore,আমার আর বাঁচতি ইচ্ছে করেনা জানেন,translate Jashore to Bangla: আমার আর বাঁচতি ইচ্ছে করেনা জানেন,আমার আর বাঁচতে ইচ্ছে করেনা জানেন
0053,Jashore,তুমি কি আমার সাথে প্রেম করবা?,translate Jashore to Bangla: তুমি কি আমার সাথে প্রেম করবা?,তুমি কি আমার সাথে প্রেম করবা?
0886,Barishal,মোর খালাম্মার বিয়া হইছে ২০১৫তে,translate Barishal to Bangla: মোর খালাম্মার বিয়া হইছে ২০১৫তে,আমার খালামুনির বিয়ে হইছে ২০১৫তে
0763,Chittagong,তোঁয়ারে ছাড়া আঁই৷ গম নাই,translate Chittagong to Bangla: তোঁয়ারে ছাড়া আঁই৷ গম নাই,তোমাকে ছাড়া আমি ভালো নেই
1596,Jashore,কয়দিন অপেক্ষা করো,translate Jashore to Bangla: কয়দিন অপেক্ষা করো,কয়েক দিন অপেক্ষা করো
0204,Pabna,এ রহম হইরিই সুময় চইলি যাবি কিন্তু এসব কিছু গান থাহি যাবি,translate Pabna to Bangla: এ রহম হইরিই সুময় চইলি যাবি কিন্তু এসব কিছু গান থাহি যাবি,এভাবে চলে যাবে সময় কিন্তু থেকে যাবে এসব কিছু গান
0974,Noakhali,আই আহেল হছন্দ করি,translate Noakhali to Bangla: আই আহেল হছন্দ করি,আমি আপেল পছন্দ করি
1150,Rangpur,ওটাকোনা এক বাংলাদেশী চ্যাংড়ার সাথে পরিচয় তারপর সম্পর্ক,translate Rangpur to Bangla: ওটাকোনা এক বাংলাদেশী চ্যাংড়ার সাথে পরিচয় তারপর সম্পর্ক,ওখানেই এক বাংলাদেশী ছেলের সাথে পরিচয় তারপর সম্পর্ক
1859,Rangpur,সিলেট নগরোত শেখঘাট এলাকায়ঔত গড়ি উঠছে বেশ কয়েকখান লাকড়ি তৈরির কারখানা,translate Rangpur to Bangla: সিলেট নগরোত শেখঘাট এলাকায়ঔত গড়ি উঠছে বেশ কয়েকখান লাকড়ি তৈরির কারখানা,সিলেট নগরের শেখঘাট এলাকায় গড়ে উঠেছে বেশ কয়েকটি লাকড়ি তৈরির কারখানা
0064,Chittagong,আঁই ওগ্গা মাইয়া ফুয়া,translate Chittagong to Bangla: আঁই ওগ্গা মাইয়া ফুয়া,আমি একজন মেয়ে
0066,Jashore,স্কুল জীবন থেকে তাদের প্রেম ছিলো,translate Jashore to Bangla: স্কুল জীবন থেকে তাদের প্রেম ছিলো,স্কুল জীবন থেকে তাদের প্রেম ছিলো
2281,Jashore,ছুয়ালডা হয়ত অন্য কোনও মায়েকে ভালবাসে,translate Jashore to Bangla: ছুয়ালডা হয়ত অন্য কোনও মায়েকে ভালবাসে,ছেলেটি হয়ত অন্য কোনও মেয়েকে ভালবাসে
1711,Pabna,তুমারে কারুর বিশ্বাস ওবি লয়,translate Pabna to Bangla: তুমারে কারুর বিশ্বাস ওবি লয়,তোমাদের কারো বিশ্বাস হবে না
1802,Rangpur,মুই গ্রামের বাড়িতে গেইলে পুকুরোত গোসল করং,translate Rangpur to Bangla: মুই গ্রামের বাড়িতে গেইলে পুকুরোত গোসল করং,আমি গ্রামের বাড়ীতে গেলে পুকুরে গোসল করি
2252,Noakhali,আমরা সবাই গইকাল বাইরত গেছিলাম,translate Noakhali to Bangla: আমরা সবাই গইকাল বাইরত গেছিলাম,আমরা সবাই গতকাল বাহিরে গিয়েছিলাম
0225,Barishal,বায়রে বেমালা মানু ঘুইররা বেরাইতাছে,translate Barishal to Bangla: বায়রে বেমালা মানু ঘুইররা বেরাইতাছে,বাইরে বেশ কিছু মানুষ ঘুরে বেড়াচ্ছে
1123,Pabna,তার সাতে পরিচয় তাক পাইবেট পড়াবির যায়া,translate Pabna to Bangla: তার সাতে পরিচয় তাক পাইবেট পড়াবির যায়া,তার সাথে পরিচয় তাকে প্রাইভেট পড়াতে গিয়ে
0502,Jashore,সকালে পড়াশুনা করা ভালো উপায়,translate Jashore to Bangla: সকালে পড়াশুনা করা ভালো উপায়,সকালে পড়াশোনা করা ভালো উপায়
0534,Rangpur,ওমরা তিন ভাই ছিল কিন্তু ওমার মদ্ধে মিল ছিলো না,translate Rangpur to Bangla: ওমরা তিন ভাই ছিল কিন্তু ওমার মদ্ধে মিল ছিলো না,তারা তিন ভাই ছিল কিন্তু তাদের মদ্ধে মিল ছিলো না
1374,Barishal,আগে পরের হিসাব বাদ আইজগো কাইজ্জার কাহিনী বাপে বিদাশ থাহে,translate Barishal to Bangla: আগে পরের হিসাব বাদ আইজগো কাইজ্জার কাহিনী বাপে বিদাশ থাহে,আগে পরের হিসাব বাদ আজকে ঝগড়ার বিষয় আব্বু বিদেশে থাকে
0391,Chittagong,এক্কান গুরা গ্রামত ওগ্গা গুরা মাইয়া ফুয়া আচ্চিল,translate Chittagong to Bangla: এক্কান গুরা গ্রামত ওগ্গা গুরা মাইয়া ফুয়া আচ্চিল,একটি ছোট্ট গ্রামে একজন মেয়ে ছিল
1049,Rangpur,মোর বয়স উনিশ বছর,translate Rangpur to Bangla: মোর বয়স উনিশ বছর,আমার বয়স উনিশ বছর
2195,Pabna,মাটির আহায় নাইদি খাওয়া সেই স্বাদ,translate Pabna to Bangla: মাটির আহায় নাইদি খাওয়া সেই স্বাদ,লাকড়ির চুলায় রান্না করা খাবার খুব মজা
0929,Noakhali,এক্কান কুত্তা রাস্তায় বই আছে,translate Noakhali to Bangla: এক্কান কুত্তা রাস্তায় বই আছে,একটি কুকুর রাস্তায় বসে আছে
0269,Barishal,অহন আর মাইনশের মধ্যে মায়া বিষয়ডা খুব এউক্কা নাই,translate Barishal to Bangla: অহন আর মাইনশের মধ্যে মায়া বিষয়ডা খুব এউক্কা নাই,এখন আর মানুষের মধ্যে মায়া বিষয়টা খুব একটা নেই
0187,Mymensingh,সব গানগুলা অনেক সুন্দর,translate Mymensingh to Bangla: সব গানগুলা অনেক সুন্দর,এই ছবির সব গানগুলো অনেক সুন্দর
1101,Jashore,এরই মাঝে একটি অঘটন ঘটে গেলো,translate Jashore to Bangla: এরই মাঝে একটি অঘটন ঘটে গেলো,এরই মাঝে একটি অঘটন ঘটে গেলো
0717,Barishal,তুমি মোর পোরথোম দোস্ত,translate Barishal to Bangla: তুমি মোর পোরথোম দোস্ত,তুমি আমার প্রথম বন্ধু
0013,Chittagong,আম্মু এদিন ঠিক হতা হই্ইলও,translate Chittagong to Bangla: আম্মু এদিন ঠিক হতা হই্ইলও,আম্মু ঐদিন ঠিক কথাই বলেছিলও
0987,Jashore,আমাদের পারিবারিক ভাবে বিয়ে হয়,translate Jashore to Bangla: আমাদের পারিবারিক ভাবে বিয়ে হয়,আমাদের পারিবারিক ভাবে বিয়ে হয়
1589,Noakhali,হে মাঠে আসে নাই,translate Noakhali to Bangla: হে মাঠে আসে নাই,সে মাঠে আসেনি
2353,Noakhali,"হরিবার কইলে মা-বাহ, ভাই-বইনরে বুঝায়","translate Noakhali to Bangla: হরিবার কইলে মা-বাহ, ভাই-বইনরে বুঝায়",পরিবার বলতে মা বাবা ভাই বোন নিয়ে
1094,Rangpur,বয়স মোর তখন ১৬ ত পরিছে,translate Rangpur to Bangla: বয়স মোর তখন ১৬ ত পরিছে,বয়স আমার তখন ১৬ তে পড়লো
0396,Chittagong,পুকুরত্তুন খুব সোন্দর এক পাখি দেখা গেলো।,translate Chittagong to Bangla: পুকুরত্তুন খুব সোন্দর এক পাখি দেখা গেলো।,পুকুরে খুবই সুন্দর একটি পাখি দেখতে পেলো
1886,Pabna,আমার দুইদিন পরে বিয়ি ওবি,translate Pabna to Bangla: আমার দুইদিন পরে বিয়ি ওবি,আমার দুইদিন পরে বিয়ে হবে
1910,Pabna,মিয়িডা এহন সিলেট যাবি,translate Pabna to Bangla: মিয়িডা এহন সিলেট যাবি,মেয়েটি এখন সিলেট যাবে
2072,Pabna,তুমি কি তুমার বুল বুজবির পারছ্যাও ?,translate Pabna to Bangla: তুমি কি তুমার বুল বুজবির পারছ্যাও ?,তুমি কি তোমার ভুল বুঝতে পেরেছ ?
1559,Jashore,এই প্রথম সে ঢাকায় আইছে,translate Jashore to Bangla: এই প্রথম সে ঢাকায় আইছে,এই প্রথম সে ঢাকায় এসেছে
0760,Barishal,খেলার মাঠে আইজগা বেমালা মানু,translate Barishal to Bangla: খেলার মাঠে আইজগা বেমালা মানু,খেলার মাঠে আজকে অনেক মানুষ
2176,Jashore,আমাদের এলাকায় কিরাসিন তেলের দাম বাড়ে গেছে,translate Jashore to Bangla: আমাদের এলাকায় কিরাসিন তেলের দাম বাড়ে গেছে,আমাদের এলাকায় কেরোসিন তেলের দাম বেড়ে গেছে
0656,Mymensingh,আইজকা পড়তে মন চাইতাছে না,translate Mymensingh to Bangla: আইজকা পড়তে মন চাইতাছে না,পড়তে ইচ্ছা করতেসে না আজকে
0494,Barishal,মোর বুয়ায় মরে বেমালা ভালোপায়,translate Barishal to Bangla: মোর বুয়ায় মরে বেমালা ভালোপায়,আমার বড় বোন আমাকে অনেক ভালবাসে
0750,Chittagong,এক ডাগদি দইজ্জে আঁরেক ডাগদি বালি,translate Chittagong to Bangla: এক ডাগদি দইজ্জে আঁরেক ডাগদি বালি,এক পাশে সাগর এক পাশে বালি
0347,Barishal,হেই ফুল গুলার রঙিন মেলা দেইক্কা মোনডা ভইররা যায়,translate Barishal to Bangla: হেই ফুল গুলার রঙিন মেলা দেইক্কা মোনডা ভইররা যায়,সে ফুলগুলোর রঙিন মেলা দেখে হৃদয় ভরে যায়
0459,Barishal,ফুটবল খেলায় বিশ্বকাপ জেতছে ফ্রান্স,translate Barishal to Bangla: ফুটবল খেলায় বিশ্বকাপ জেতছে ফ্রান্স,ফুটবল ম্যাচে বিশ্বকাপ জয় করেছে ফ্রান্স
0534,Barishal,হেরা তিনডা ভাই ছেলো মাগার হেগো মদ্দে মিল আছেলে না,translate Barishal to Bangla: হেরা তিনডা ভাই ছেলো মাগার হেগো মদ্দে মিল আছেলে না,তারা তিন ভাই ছিল কিন্তু তাদের মদ্ধে মিল ছিলো না
1046,Barishal,"কোন কতা খারাপ লাগলে, দয়া হইরা মাপ কইরা দেবেন।","translate Barishal to Bangla: কোন কতা খারাপ লাগলে, দয়া হইরা মাপ কইরা দেবেন।",কোন কথা খারাপ লাগলে দয়া করে মাফ করবেন
1443,Mymensingh,পরে আমার লগে খারাপ ব্যবহার করা শুরু করলো,translate Mymensingh to Bangla: পরে আমার লগে খারাপ ব্যবহার করা শুরু করলো,আমার সাথে বাজে ব্যবহার করতে থাকলো
1021,Mymensingh,এইতা ভেজালের সমাধান কই পামু?,translate Mymensingh to Bangla: এইতা ভেজালের সমাধান কই পামু?,এসব সমস্যার সমাধান কোথায় পাবো
0762,Mymensingh,আমি বালা নাই,translate Mymensingh to Bangla: আমি বালা নাই,আমি ভালো নেই
0091,Chittagong,নিজর বিয়াত বাপ মারে রাজি গরা পরিবো,translate Chittagong to Bangla: নিজর বিয়াত বাপ মারে রাজি গরা পরিবো,নিজের পছন্দের বিয়েতে বাবা মাকে রাজি করানো হলো
2312,Pabna,সে তার গিরামের বাড়িত গুরবির গেছে,translate Pabna to Bangla: সে তার গিরামের বাড়িত গুরবির গেছে,সে তার গ্রামের বাড়িতে ঘুরতে গিয়েছে
1742,Pabna,সুয়ামীর পোতি আমার বিন্দুমাত্র কোন ওবিযোগ নাই,translate Pabna to Bangla: সুয়ামীর পোতি আমার বিন্দুমাত্র কোন ওবিযোগ নাই,স্বামীর প্রতি আমার বিন্দুমাত্র কোন অভিযোগ নেই
2328,Rangpur,মনের ভালোবাসা চিরদিন থাকি যাইবে,translate Rangpur to Bangla: মনের ভালোবাসা চিরদিন থাকি যাইবে,মনের ভালোবাসা চিরদিন থেকে যাবে
1972,Rangpur,তুই জোর করি অন্যের ভালো লাগার মানুষ হবার পাবার নাইশ,translate Rangpur to Bangla: তুই জোর করি অন্যের ভালো লাগার মানুষ হবার পাবার নাইশ,তুমি জোর করে অন্যের ভালো লাগার মানুষ হতে পারবে না
1529,Pabna,আজার বছর আগে পুরুষই দুতি পইরতো,translate Pabna to Bangla: আজার বছর আগে পুরুষই দুতি পইরতো,হাজার বছর আগে সব পুরুষই পরত ধুতি পরত
0435,Pabna,তুই আমার সাতে একখান গান কোবির পারবু?,translate Pabna to Bangla: তুই আমার সাতে একখান গান কোবির পারবু?,তুই আমার সঙ্গে একটি গান গাইতে পারবি?
0398,Pabna,আমার দাঁত ম্যালা ব্যাতা হরতেছে,translate Pabna to Bangla: আমার দাঁত ম্যালা ব্যাতা হরতেছে,আমার দাঁত অনেক ব্যথা করছে
0778,Chittagong,আঁর ভিতর সমস্যা আছে,translate Chittagong to Bangla: আঁর ভিতর সমস্যা আছে,আমার মধ্যে সমস্যা আছে
0526,Chittagong,তোয়াই কি সরকারি চরি গইরগোনা?,translate Chittagong to Bangla: তোয়াই কি সরকারি চরি গইরগোনা?,তুমি কি সরকারি চাকরি করছো?
0307,Barishal,রাজকুমারির মায়া পৃথিবীর তনে যায়নায় এহোনো,translate Barishal to Bangla: রাজকুমারির মায়া পৃথিবীর তনে যায়নায় এহোনো,রাজকুমারির মায়া পৃথিবী যায়নি আজও ভুলে
1565,Noakhali,হান থেইকা বড় বুইন কিছু হেয়ারা কিনল,translate Noakhali to Bangla: হান থেইকা বড় বুইন কিছু হেয়ারা কিনল,সেখান থেকে বড়ো বোন কিছু পেয়ারা কিনল
0767,Noakhali,তুই কি চাস?,translate Noakhali to Bangla: তুই কি চাস?,তুমি কি চাও?
0737,Rangpur,সবাই হারে যায়,translate Rangpur to Bangla: সবাই হারে যায়,সবাই হারিয়ে যায়
1780,Jashore,আমার বাড়ির পিছনে ম্যালা বড় একটা নারকেল গাছ আছে,translate Jashore to Bangla: আমার বাড়ির পিছনে ম্যালা বড় একটা নারকেল গাছ আছে,আমার বাড়ীর পিছনে অনেক বড় একটি নারিকেল গাছ আছে
0950,Jashore,আমি অসুস্থ হইয়া পড়ছিলাম।,translate Jashore to Bangla: আমি অসুস্থ হইয়া পড়ছিলাম।,আমি অসুস্থ হয়ে পরেছিলাম
1990,Pabna,আপনের জন্যি মনে আমার ম্যালা বালোবাসা,translate Pabna to Bangla: আপনের জন্যি মনে আমার ম্যালা বালোবাসা,আপনার জন্য মনে আমার অফুরন্ত ভালবাসা
0281,Chittagong,ছোডো পোয়া ইউরোপত লেখাপড়া গরের।,translate Chittagong to Bangla: ছোডো পোয়া ইউরোপত লেখাপড়া গরের।,ছেলে ইউরোপে পড়াশোনা করে
0641,Chittagong,বাংলাদেশ গ্রামপ্রধান দেশ,translate Chittagong to Bangla: বাংলাদেশ গ্রামপ্রধান দেশ,বাংলাদেশ গ্রামপ্রধান দেশ
0777,Chittagong,আঁরে কিল্লে ভালো ন বাসো?,translate Chittagong to Bangla: আঁরে কিল্লে ভালো ন বাসো?,কেন ভালোবাসো না আমায় ?
2392,Jashore,আপনি কি এখানে রাস্তা দেখতি পাচ্ছেন?,translate Jashore to Bangla: আপনি কি এখানে রাস্তা দেখতি পাচ্ছেন?,আপনি কি এখানে রাস্তা দেখতে পাচ্ছেন?
1417,Barishal,মোর খালাম্মার বাড়ি ফিররা যাওয়া কি ঠিক হইবে,translate Barishal to Bangla: মোর খালাম্মার বাড়ি ফিররা যাওয়া কি ঠিক হইবে,আমার খালার বাসাতে ফেরা কি ঠিক হবে
0524,Noakhali,আই এক্কান বই হড়তাছি,translate Noakhali to Bangla: আই এক্কান বই হড়তাছি,আমি একটি বই পড়ছি
1810,Jashore,প্রায় দেড় মাস হয়ে গেলেও শিশুটার কোনো বাপ মার খোজ পাওয়া যায়নি,translate Jashore to Bangla: প্রায় দেড় মাস হয়ে গেলেও শিশুটার কোনো বাপ মার খোজ পাওয়া যায়নি,প্রায় দেড় মাস হয়ে গেলেও শিশুটির কোনো অভিভাবকের সন্ধান পাওয়া যায়নি
0488,Noakhali,আর বাসায় গতরাতে চুরি অইছ,translate Noakhali to Bangla: আর বাসায় গতরাতে চুরি অইছ,আমার বাসায় গতকাল রাতে চুরি হয়েছে
0950,Chittagong,আঁই বেইয়ারামত পরি গেইলাম,translate Chittagong to Bangla: আঁই বেইয়ারামত পরি গেইলাম,আমি অসুস্থ হয়ে পরেছিলাম
0814,Chittagong,এরপরদি তেল মারিয়েরে উত্তর দিয়ুম,translate Chittagong to Bangla: এরপরদি তেল মারিয়েরে উত্তর দিয়ুম,এরপর ঠিক করলাম তেল মারা উত্তর দিবো
0828,Mymensingh,আমি তো মনে করছি আম্মা আমার লিগ্যা রান্ধা পাডাইছে,translate Mymensingh to Bangla: আমি তো মনে করছি আম্মা আমার লিগ্যা রান্ধা পাডাইছে,আমি তো ভাবলাম শাশুড়ি আম্মা আমার জন্য রান্না করে পাঠিয়েছেন
0780,Noakhali,আই বদমেজাজি মানুষ,translate Noakhali to Bangla: আই বদমেজাজি মানুষ,আমি বদমেজাজি লোক
0658,Chittagong,গণিত তোঁয়ার হত্তুন হইল্লে লাগে?,translate Chittagong to Bangla: গণিত তোঁয়ার হত্তুন হইল্লে লাগে?,গণিত তোমার কেমন লাগে?
2308,Noakhali,আঁই ঘুমাইতে যামু,translate Noakhali to Bangla: আঁই ঘুমাইতে যামু,আমি ঘুমাতে যাবো
0203,Pabna,এই গানডা যে কতবার শুনছি আমি নিজেই জানি নি,translate Pabna to Bangla: এই গানডা যে কতবার শুনছি আমি নিজেই জানি নি,এই গানটা কতবার শুনিছি আমি নিজেই জানি না
2280,Noakhali,হোলাডারে আর ভালা লাগছে,translate Noakhali to Bangla: হোলাডারে আর ভালা লাগছে,ছেলেটিকে আমার ভাল লেগেছে
0501,Noakhali,তুই আর জীবনের আলো,translate Noakhali to Bangla: তুই আর জীবনের আলো,তুমি আমার জীবনের আলো
2107,Jashore,তুমার জন্যি এত কিছু করেও কোন লাভ হলো না,translate Jashore to Bangla: তুমার জন্যি এত কিছু করেও কোন লাভ হলো না,তোমার জন্য এত কিছু করেও কোন লাভ হলো না
1161,Jashore,আমরা মেয়েটিকে নিয়ে ছেলের বাসায় যাই,translate Jashore to Bangla: আমরা মেয়েটিকে নিয়ে ছেলের বাসায় যাই,আমরা মেয়েটিকে নিয়ে ছেলের বাসায় যাই
0749,Mymensingh,পাহাড়ের চূড়াত উঠতে চাই,translate Mymensingh to Bangla: পাহাড়ের চূড়াত উঠতে চাই,পাহাড়ের চূড়ায় উঠতে চাই
0364,Barishal,যহন দেহি তুমি ছাড়া মোর জীবন ডা আন্ধার ঠিক তহন এই দেহি কারেন্ট চইল্লা আইছে,translate Barishal to Bangla: যহন দেহি তুমি ছাড়া মোর জীবন ডা আন্ধার ঠিক তহন এই দেহি কারেন্ট চইল্লা আইছে,"যখন ভাবি তুমি ছাড়া আমার জীবনটা অন্ধকার, ঠিক তখনই কারেন্ট চলে আসে"
1420,Mymensingh,আমার মতন এত ভুল কেউ করে নাকি জানি না,translate Mymensingh to Bangla: আমার মতন এত ভুল কেউ করে নাকি জানি না,আমার মতো এতো ভুল মনে হয় কেউ করে না
1982,Pabna,আমার যত কষ্ট অইক তুমাক লিয়ি আমি জীবন সাজাবোই,translate Pabna to Bangla: আমার যত কষ্ট অইক তুমাক লিয়ি আমি জীবন সাজাবোই,আমার যত কষ্ট হোক তোমাকে নিয়ে আমি জীবন সাজাবোই
0502,Barishal,বেইন্নাকালে পড়ালেহা হরা ভালো উপায়,translate Barishal to Bangla: বেইন্নাকালে পড়ালেহা হরা ভালো উপায়,সকালে পড়াশোনা করা ভালো উপায়
0342,Mymensingh,আপনের ছবিডা দেইখা পরানডা ভইরা গেল,translate Mymensingh to Bangla: আপনের ছবিডা দেইখা পরানডা ভইরা গেল,আপনার ছবিটি দেখে মন ভরে গেলো
2403,Jashore,আমি আপনার পাশে থাকতি চাই,translate Jashore to Bangla: আমি আপনার পাশে থাকতি চাই,আমি আপনার পাশে থাকতে চাই
0923,Pabna,আমার ছোট বুনি নানা বাড়ি ব্যারাবির গেছে,translate Pabna to Bangla: আমার ছোট বুনি নানা বাড়ি ব্যারাবির গেছে,আমার ছোটো বোন নানার বাড়ীতে ঘুরতে গিয়েছে
1727,Jashore,তারা স্লোগান শুরু করল,translate Jashore to Bangla: তারা স্লোগান শুরু করল,তারা স্লোগান আরম্ভ করল
0037,Noakhali,তর কি হড়ালিয়া কইত্তে আক্কেরেই বাঁলা লাগে না?,translate Noakhali to Bangla: তর কি হড়ালিয়া কইত্তে আক্কেরেই বাঁলা লাগে না?,তোর কি পড়ালেখা করতে একদমই ভাল লাগে নাহ ?
0754,Barishal,মানুষ বেমলা স্বার্থপর হয়,translate Barishal to Bangla: মানুষ বেমলা স্বার্থপর হয়,মানুুষ অনেক স্বার্থপর হয়
1202,Barishal,হেরর লইগ্গা ঘরের মানু মানলে বিয়ে হইবে না হইলে হে পারবে না,translate Barishal to Bangla: হেরর লইগ্গা ঘরের মানু মানলে বিয়ে হইবে না হইলে হে পারবে না,তার জন্য পরিবার মানলে বিয়ে হবে না হলে সে পারবে না
0702,Mymensingh,আমি তোমারে বালোবাসি,translate Mymensingh to Bangla: আমি তোমারে বালোবাসি,আমি তোমায় ভালবাসি
0670,Chittagong,তোঁয়ার পচন্দর গায়ক হননো?,translate Chittagong to Bangla: তোঁয়ার পচন্দর গায়ক হননো?,তোমার প্রিয় গায়ক কে?
0015,Pabna,আমার বাড়ির কামের ছেড়িডা এহোন বালো মত কাম হরে না,translate Pabna to Bangla: আমার বাড়ির কামের ছেড়িডা এহোন বালো মত কাম হরে না,আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ
0660,Mymensingh,আমারে হগলে এক নামে চিনে,translate Mymensingh to Bangla: আমারে হগলে এক নামে চিনে,আমাকে সবাই এক নামে চিনে
0216,Rangpur,"যতদিন দুনিয়ার বুকত বাংলাদেশ নামটা থাকবে, ততদিন এই গানডা চলতেই থাকিবে","translate Rangpur to Bangla: যতদিন দুনিয়ার বুকত বাংলাদেশ নামটা থাকবে, ততদিন এই গানডা চলতেই থাকিবে",যতদিন পৃথিবীর বুকে বাংলাদেশ নামটি থাকবে ততদিন পর্যন্ত এই গানটি চলতে থাকবে
0592,Rangpur,তুই বিয়া করিস না ক্যান,translate Rangpur to Bangla: তুই বিয়া করিস না ক্যান,তুমি বিয়ে করছো না কেন?
0997,Barishal,হে যার লগে সম্পর্কে হেরে জড়াইয়া বিয়া হরবে না বলে কিন্তু হের লগে সম্পর্ক রাখপে,translate Barishal to Bangla: হে যার লগে সম্পর্কে হেরে জড়াইয়া বিয়া হরবে না বলে কিন্তু হের লগে সম্পর্ক রাখপে,সে যার সাথে সম্পর্কে জড়িয়ে তাকে বিয়ে করবে না বলে কিন্তু সম্পর্ক রাখবে
0356,Barishal,আইজ সিংগেল দেইক্কা কারো লাইগ্গা হাত কাটতারি না,translate Barishal to Bangla: আইজ সিংগেল দেইক্কা কারো লাইগ্গা হাত কাটতারি না,আজ সিঙ্গেল বলে কারো জন্য হাত কাটতে পারি না
0493,Rangpur,মোর ছোটো ভাই দুই মাস পর বিদেশে পড়ালেখা করবের যাইবে,translate Rangpur to Bangla: মোর ছোটো ভাই দুই মাস পর বিদেশে পড়ালেখা করবের যাইবে,আমার ছোটো ভাই দুই মাস পর বিদেশে পড়ালেখা করতে যাবে
0564,Rangpur,একটা ছোট কালা কুত্তে ঘাসের মধ্যে সুতি আছে,translate Rangpur to Bangla: একটা ছোট কালা কুত্তে ঘাসের মধ্যে সুতি আছে,একটি ছোট কালো কুকুর ঘাসে মধ্যে শুয়ে আছে
0912,Chittagong,তোঁয়ার এত্তে ঘুম আয়ে কেনে,translate Chittagong to Bangla: তোঁয়ার এত্তে ঘুম আয়ে কেনে,তোমার এত ঘুম আসে কেন ?
0467,Barishal,মুই ফুটবল খেলাডি দ্যাখতে ভালোপাই,translate Barishal to Bangla: মুই ফুটবল খেলাডি দ্যাখতে ভালোপাই,আমি ফুটবল ম্যাচগুলি দেখতে ভালোবাসি
1061,Chittagong,"আঁইত্তো আঁই হঁইয়্যুম, আপনি ডিভোর্স লই যান","translate Chittagong to Bangla: আঁইত্তো আঁই হঁইয়্যুম, আপনি ডিভোর্স লই যান",আমি বলব আপনি বিবাহবিচ্ছেদ পথ বেছে নেন
2372,Noakhali,আর বইন সবসময় আর লগে থাকতে চায়,translate Noakhali to Bangla: আর বইন সবসময় আর লগে থাকতে চায়,আমার বোন আমার সাথে সব সময় থাকতে চায়
0961,Rangpur,মোর সাথে আইসেন,translate Rangpur to Bangla: মোর সাথে আইসেন,আমার সঙ্গে আসুন
